dataset,method,adaptive_accuracy,oracle_accuracy,oracle_language,tie_count,regret,interpretation
kr-vs-kp,smart_certified,0.9619916579770594,0.9794056308654848,square2cnf,1,0.01741397288842539,underperforms_best_fixed_language
letter,cals,0.9863166666666666,0.9890416666666667,square2cnf,3,0.0027250000000000885,underperforms_best_fixed_language
letter,cals_compact_explain,0.9642833333333334,0.9890416666666667,square2cnf,3,0.024758333333333327,underperforms_best_fixed_language
letter,smart_certified,0.983475,0.9890416666666667,square2cnf,3,0.00556666666666672,underperforms_best_fixed_language
letter_recognition-bin,cals,0.9930583333333333,0.9955083333333332,antihorn,1,0.002449999999999952,underperforms_best_fixed_language
letter_recognition-bin,cals_compact_explain,0.9896666666666667,0.9955083333333332,antihorn,1,0.005841666666666523,underperforms_best_fixed_language
letter_recognition-bin,smart_certified,0.9940833333333334,0.9955083333333332,antihorn,1,0.0014249999999997875,underperforms_best_fixed_language
lymph,cals,0.7795454545454545,0.7954545454545455,unary,1,0.015909090909090984,underperforms_best_fixed_language
lymph,cals_compact_explain,0.7659090909090909,0.7954545454545455,unary,1,0.029545454545454652,underperforms_best_fixed_language
lymph,smart_certified,0.8193181818181818,0.7954545454545455,unary,1,-0.02386363636363631,beats_every_fixed_language
magic04-bin,cals,0.8325008762705923,0.837372940764108,square2cnf,1,0.0048720644935156265,underperforms_best_fixed_language
magic04-bin,cals_compact_explain,0.8193655800911321,0.837372940764108,square2cnf,1,0.018007360672975814,underperforms_best_fixed_language
magic04-bin,smart_certified,0.8320101647388715,0.837372940764108,square2cnf,1,0.005362776025236493,underperforms_best_fixed_language
messidor-bin,cals,0.6339130434782609,0.6353623188405797,horn,1,0.0014492753623187582,underperforms_best_fixed_language
messidor-bin,cals_compact_explain,0.6430434782608695,0.6353623188405797,horn,1,-0.007681159420289796,beats_every_fixed_language
messidor-bin,smart_certified,0.6328985507246376,0.6353623188405797,horn,1,0.0024637681159420666,underperforms_best_fixed_language
mushroom,cals,0.9989741485432908,0.9998768978251948,horn,3,0.0009027492819040361,underperforms_best_fixed_language
mushroom,cals_compact_explain,1.0,0.9998768978251948,horn,3,-0.0001231021748051564,beats_every_fixed_language
mushroom,smart_certified,0.9997743126795241,0.9998768978251948,horn,3,0.00010258514567074162,underperforms_best_fixed_language
pendigits,cals,0.9947508896797153,0.9959964412811388,unary,1,0.001245551601423589,underperforms_best_fixed_language
pendigits,cals_compact_explain,0.9935943060498221,0.9959964412811388,unary,1,0.0024021352313167155,underperforms_best_fixed_language
pendigits,smart_certified,0.9961521352313168,0.9959964412811388,unary,1,-0.00015569395017800414,beats_every_fixed_language
primary-tumor,cals,0.808910891089109,0.8054455445544555,unary,1,-0.0034653465346534684,beats_every_fixed_language
primary-tumor,cals_compact_explain,0.8153465346534654,0.8054455445544555,unary,1,-0.00990099009900991,beats_every_fixed_language
primary-tumor,smart_certified,0.8009900990099009,0.8054455445544555,unary,1,0.00445544554455457,underperforms_best_fixed_language
segment,cals,0.994083694083694,0.9974025974025974,affine,1,0.003318903318903388,underperforms_best_fixed_language
segment,cals_compact_explain,0.995093795093795,0.9974025974025974,affine,1,0.0023088023088023713,underperforms_best_fixed_language
segment,smart_certified,0.9972582972582972,0.9974025974025974,affine,1,0.00014430014430022453,underperforms_best_fixed_language
seismic_bumps-bin,cals,0.9221935483870969,0.9133548387096774,unary,1,-0.00883870967741951,beats_every_fixed_language
seismic_bumps-bin,cals_compact_explain,0.9223225806451613,0.9133548387096774,unary,1,-0.008967741935483886,beats_every_fixed_language
seismic_bumps-bin,smart_certified,0.9110967741935484,0.9133548387096774,unary,1,0.002258064516128977,underperforms_best_fixed_language
soybean,cals,0.9417989417989417,0.9391534391534391,antihorn,1,-0.002645502645502673,beats_every_fixed_language
soybean,cals_compact_explain,0.9224867724867725,0.9391534391534391,antihorn,1,0.016666666666666607,underperforms_best_fixed_language
soybean,smart_certified,0.9375661375661375,0.9391534391534391,antihorn,1,0.0015873015873015817,underperforms_best_fixed_language
splice-1,cals,0.9475966562173458,0.9548066875653083,unary,1,0.007210031347962498,underperforms_best_fixed_language
splice-1,cals_compact_explain,0.9390282131661442,0.9548066875653083,unary,1,0.015778474399164133,underperforms_best_fixed_language
splice-1,smart_certified,0.9466562173458726,0.9548066875653083,unary,1,0.008150470219435713,underperforms_best_fixed_language
taiwan_binarised,cals,0.8211722222222223,0.8207777777777778,unary,1,-0.000394444444444475,beats_every_fixed_language
