analysis_type,metric,method,comparison,n_datasets,mean,median,std,average_rank,dataset_wins_including_ties,statistic,p_value,median_paired_difference_left_minus_right,paired_rank_biserial,holm_adjusted_p
descriptive,total_fit_time,square2cnf,,46,0.4444951763543478,0.07300643425,1.0212251989584384,4.913043478260869,0.0,,,,,
descriptive,total_fit_time,affine,,46,0.1624549898380435,0.030632216925,0.34605045307364607,3.6956521739130435,4.0,,,,,
friedman,total_fit_time,all_fixed,all_fixed,46,,,,,,126.80000000000007,1.8819830805051148e-26,,,
paired_wilcoxon,total_fit_time,,unary_vs_horn,46,,,,,,195.0,8.274314686218531e-05,-0.0030235419750000003,-0.6392229417206291,0.00024822944058655594
paired_wilcoxon,total_fit_time,,unary_vs_antihorn,46,,,,,,204.0,0.00013284241950373143,-0.00311274,-0.6225716928769658,0.00026568483900746287
paired_wilcoxon,total_fit_time,,unary_vs_square2cnf,46,,,,,,25.0,2.5693225325085223e-11,-0.059556144224999996,-0.9537465309898242,1.2846612662542611e-10
paired_wilcoxon,total_fit_time,,unary_vs_affine,46,,,,,,95.0,9.049321647580655e-08,-0.0225545168,-0.8242368177613321,3.619728659032262e-07
paired_wilcoxon,total_fit_time,,horn_vs_antihorn,46,,,,,,529.0,0.9052623889877793,-4.9393049999999807e-05,-0.02127659574468085,0.9052623889877793
paired_wilcoxon,total_fit_time,,horn_vs_square2cnf,46,,,,,,0.0,2.842170943040401e-14,-0.057219596624999994,-1.0,2.8421709430404007e-13
paired_wilcoxon,total_fit_time,,horn_vs_affine,46,,,,,,21.0,1.2704504115390591e-11,-0.019874873100000003,-0.9611470860314524,7.622702469234355e-11
paired_wilcoxon,total_fit_time,,antihorn_vs_square2cnf,46,,,,,,0.0,2.842170943040401e-14,-0.057393749524999996,-1.0,2.8421709430404007e-13
paired_wilcoxon,total_fit_time,,antihorn_vs_affine,46,,,,,,19.0,8.72546479513403e-12,-0.019179710475,-0.9648473635522664,6.107825356593821e-11
paired_wilcoxon,total_fit_time,,square2cnf_vs_affine,46,,,,,,0.0,2.842170943040401e-14,0.039438456324999996,1.0,2.8421709430404007e-13
