dataset,method,rank,accuracy
wine2-un,affine,4.0,0.6556603773584906
wine3-un,unary,1.0,0.750943396226415
wine3-un,horn,5.0,0.7339622641509435
wine3-un,antihorn,3.0,0.7377358490566037
wine3-un,square2cnf,4.0,0.7358490566037735
wine3-un,affine,2.0,0.7433962264150943
winequality-red-bin,unary,1.0,0.990625
winequality-red-bin,horn,2.0,0.9904166666666667
winequality-red-bin,antihorn,4.0,0.9878125000000001
winequality-red-bin,square2cnf,3.0,0.9880208333333333
winequality-red-bin,affine,5.0,0.9875
yeast,unary,4.0,0.7074157303370787
yeast,horn,1.5,0.7141573033707865
yeast,antihorn,1.5,0.7141573033707865
yeast,square2cnf,3.0,0.7134831460674158
yeast,affine,5.0,0.6980898876404494
