dataset,n_samples,n_features,n_over_p,positive_rate,imbalance_ratio,feature_prevalence_mean,feature_prevalence_std,feature_prevalence_min,feature_prevalence_max,feature_sparsity,signal_source,folds,unary_signal,unary_signal_std,horn_signal,horn_signal_std,antihorn_signal,antihorn_signal_std,square2cnf_signal,square2cnf_signal_std,affine_signal,affine_signal_std,interaction_advantage_horn,interaction_advantage_antihorn,interaction_advantage_square2cnf,interaction_advantage_affine
biodeg-bin,1055,302,3.493377483443709,0.33744075829383885,1.963483146067416,0.8186215121935909,0.2619033266710322,0.002843601895734597,0.9990521327014218,0.18137848780640908,training_fold_only_same_boolean_candidate_semantics,10,0.16003742401003737,0.010263950911151844,0.165184567353912,0.01699811685192498,0.1676903380520598,0.013699834157267532,0.18248761917435047,0.019029656447062927,0.1481995433080117,0.011143981825915623,0.005147143343874616,0.007652914042022424,0.022450195164313097,-0.011837880702025683
breast-cancer-un,683,89,7.674157303370786,0.34992679355783307,1.8577405857740588,0.10112359550561797,0.15748589862465262,0.0029282576866764276,0.8243045387994143,0.898876404494382,training_fold_only_same_boolean_candidate_semantics,10,0.5267791635365934,0.018594871709970588,0.48890827889205724,0.01832343550547851,0.6106990882844208,0.013162498646336989,0.6645909598868912,0.018991030665542242,0.3382688550381524,0.01561311293596109,-0.03787088464453614,0.08391992474782739,0.13781179635029783,-0.18851030849844097
breast-wisconsin,683,120,5.691666666666666,0.6500732064421669,1.8577405857740588,0.5,0.30532586611970836,0.020497803806734993,0.9795021961932651,0.5,training_fold_only_same_boolean_candidate_semantics,10,0.6061976885469387,0.02183585987655856,0.622471506123365,0.03955716957441622,0.622471506123365,0.03955716957441622,0.622471506123365,0.03955716957441622,0.6061976885469387,0.02183585987655856,0.01627381757642632,0.01627381757642632,0.01627381757642632,0.0
car-un,1728,21,82.28571428571429,0.29976851851851855,2.3359073359073355,0.28571428571428564,0.04123930494211612,0.25,0.3333333333333333,0.7142857142857143,training_fold_only_same_boolean_candidate_semantics,10,0.22421815495703612,0.004982797163204931,0.22564845641503908,0.005462951902590081,0.48096487642883234,0.009358532075079981,0.48096487642883234,0.009358532075079981,0.3306518431128954,0.006135729237189843,0.0014303014580029638,0.2567467214717962,0.2567467214717962,0.1064336881558593
car_evaluation-bin,1728,14,123.42857142857143,0.29976851851851855,2.3359073359073355,0.511904761904762,0.19121879052629775,0.25,0.75,0.48809523809523814,training_fold_only_same_boolean_candidate_semantics,10,0.22421815495703612,0.004982797163204931,0.48096487642883234,0.009358532075079981,0.48096487642883234,0.009358532075079981,0.48096487642883234,0.009358532075079981,0.3306518431128954,0.006135729237189843,0.2567467214717962,0.2567467214717962,0.2567467214717962,0.1064336881558593
compas_discretized,6167,25,246.68,0.45548889249229774,1.195443218227127,0.32,0.30860694784881043,0.0017836873682503648,0.9664342467974704,0.6799999999999999,training_fold_only_same_boolean_candidate_semantics,10,0.05645648509377269,0.0032907942170386684,0.06396329619417875,0.004505624625503936,0.06396329619417875,0.004505624625503936,0.06434390679414619,0.004784383291560389,0.0564564850937727,0.003290794217038669,0.007506811100406054,0.007506811100406054,0.007887421700373494,6.938893903907228e-18
diabetes,768,112,6.857142857142857,0.6510416666666666,1.8656716417910444,0.5,0.24827281805853202,0.0703125,0.9296875,0.5,training_fold_only_same_boolean_candidate_semantics,10,0.12629896087722106,0.01849591344333557,0.12629896087722106,0.01849591344333557,0.12629896087722106,0.01849591344333557,0.12629896087722106,0.01849591344333557,0.12629896087722106,0.01849591344333557,0.0,0.0,0.0,0.0
forest-fires-un,517,989,0.5227502527805864,0.5222437137330754,1.0931174089068825,0.012133468149646108,0.042336810604512186,0.0019342359767891683,0.9845261121856866,0.9878665318503539,training_fold_only_same_boolean_candidate_semantics,10,0.022577855713345862,0.0025645202124396577,0.022546415358551414,0.002832263414632813,0.03815605473458985,0.008025296967650728,0.03887376878439121,0.00811617872463819,0.048004208662194035,0.010624646146071613,-3.144035479444793e-05,0.015578199021243987,0.016295913071045345,0.025426352948848173
german-credit,1000,110,9.090909090909092,0.7,2.333333333333333,0.34545454545454546,0.2734440822466313,0.006,0.963,0.6545454545454545,training_fold_only_same_boolean_candidate_semantics,10,0.07858011994408756,0.006414628580947959,0.08224052626637063,0.009026844870867055,0.08385104099566042,0.00875945139125047,0.09130714766961696,0.010458434161008001,0.07858011994408758,0.006414628580947968,0.0036604063222830663,0.005270921051572855,0.012727027725529402,1.3877787807814457e-17
heart-cleveland,296,95,3.1157894736842104,0.5405405405405406,1.1764705882352942,0.4736842105263159,0.25855470974304223,0.013513513513513514,0.9324324324324325,0.5263157894736843,training_fold_only_same_boolean_candidate_semantics,10,0.22339629981223,0.011196012087468475,0.2740724579291873,0.017932801156212454,0.2739334271299715,0.017995126935103474,0.32787861634049564,0.033503643905551786,0.22339629981223,0.01119601208746846,0.050676158116957276,0.05053712731774149,0.10448231652826565,0.0
