dataset,run,depth,method,pruning_enabled,nodes_before,nodes_after,leaves_before,leaves_after,literals_before,literals_after,validation_accuracy_before,validation_accuracy_after,validation_balanced_accuracy_before,validation_balanced_accuracy_after,validation_sensitivity_before,validation_sensitivity_after,validation_specificity_before,validation_specificity_after,validation_macro_f1_before,validation_macro_f1_after,validation_minority_recall_before,validation_minority_recall_after,validation_class_support,root_reason,reason_counts,pruning_time,path_certified
"HTRU_2-bin",1,7,cals_affine,true,137,23,69,12,157,27,0.9748603351955307,0.975658419792498,0.9072324137824808,0.9037244119957488,0.8245614035087719,0.8157894736842105,0.9899034240561896,0.9916593503072871,0.9213577565058253,0.9229003579449712,0.8245614035087719,0.8157894736842105,"0:2278|1:228",no_change,"objective_improved:56|no_change:12",0.00091895,true
"HTRU_2-bin",1,7,cals_compact_explain_horn,true,165,5,83,3,164,4,0.9728651237031125,0.9740622505985634,0.9061349598755448,0.9186343822682255,0.8245614035087719,0.8508771929824561,0.9877085162423178,0.9863915715539947,0.9159803411116896,0.9211273143339691,0.8245614035087719,0.8508771929824561,"0:2278|1:228",no_change,"objective_improved:54|insufficient_validation_support:20|no_change:8",0.001332154,true
"HTRU_2-bin",1,7,cals_compact_explain_antihorn,true,143,5,72,3,142,4,0.970071827613727,0.9740622505985634,0.8986780493815751,0.9186343822682255,0.8114035087719298,0.8508771929824561,0.9859525899912204,0.9863915715539947,0.9075192575954023,0.9211273143339691,0.8114035087719298,0.8508771929824561,"0:2278|1:228",no_change,"objective_improved:50|insufficient_validation_support:15|no_change:6",0.001205103,true
"HTRU_2-bin",1,7,cals_compact_explain_square2cnf,true,127,5,64,3,252,8,0.9740622505985634,0.9732641660015962,0.9087669238944596,0.9103014340064384,0.8289473684210527,0.8333333333333334,0.9885864793678666,0.9872695346795435,0.9195234149857687,0.9177174837237909,0.8289473684210527,0.8333333333333334,"0:2278|1:228",no_change,"objective_improved:47|insufficient_validation_support:11|no_change:5",0.001247196,true
"HTRU_2-bin",1,7,cals_compact_explain_affine,true,131,5,66,3,155,6,0.9748603351955307,0.9724660814046289,0.9052589221077276,0.9078889607689109,0.8201754385964912,0.8289473684210527,0.990342405618964,0.9868305531167691,0.9210323742356605,0.9152612892080831,0.8201754385964912,0.8289473684210527,"0:2278|1:228",no_change,"objective_improved:36|insufficient_validation_support:16|no_change:13",0.001286553,true
"anneal",0,7,cals_horn,true,41,15,21,8,40,14,0.8508771929824561,0.8596491228070176,0.7001748251748252,0.6923076923076923,0.9772727272727273,1,0.4230769230769231,0.38461538461538464,0.737077737077737,0.7361111111111112,0.4230769230769231,0.38461538461538464,"0:26|1:88",no_change,"objective_improved:13|no_change:7",0.000052962,true
"anneal",0,7,cals_antihorn,true,41,15,21,8,40,14,0.8508771929824561,0.8596491228070176,0.7001748251748252,0.6923076923076923,0.9772727272727273,1,0.4230769230769231,0.38461538461538464,0.737077737077737,0.7361111111111112,0.4230769230769231,0.38461538461538464,"0:26|1:88",no_change,"objective_improved:13|no_change:7",0.000053933,true
"anneal",0,7,cals_square2cnf,true,33,15,17,8,64,28,0.8596491228070176,0.8596491228070176,0.7194055944055944,0.6923076923076923,0.9772727272727273,1,0.46153846153846156,0.38461538461538464,0.7574468085106383,0.7361111111111112,0.46153846153846156,0.38461538461538464,"0:26|1:88",no_change,"objective_improved:8|no_change:8",0.000059463,true
"anneal",0,7,cals_affine,true,31,15,16,8,41,18,0.868421052631579,0.868421052631579,0.7657342657342657,0.7386363636363636,0.9545454545454546,0.9772727272727273,0.5769230769230769,0.5,0.7923497267759563,0.7769662188600496,0.5769230769230769,0.5,"0:26|1:88",no_change,"objective_improved:8|no_change:7",0.000063595,true
"anneal",0,7,cals_compact_explain_horn,true,41,19,21,10,40,18,0.8508771929824561,0.8508771929824561,0.7001748251748252,0.6730769230769231,0.9772727272727273,1,0.4230769230769231,0.34615384615384615,0.737077737077737,0.713101406365655,0.4230769230769231,0.34615384615384615,"0:26|1:88",no_change,"objective_improved:7|insufficient_validation_support:6|no_change:7",0.00007534,true
"anneal",0,7,cals_compact_explain_antihorn,true,41,19,21,10,40,18,0.8508771929824561,0.8508771929824561,0.7001748251748252,0.6730769230769231,0.9772727272727273,1,0.4230769230769231,0.34615384615384615,0.737077737077737,0.713101406365655,0.4230769230769231,0.34615384615384615,"0:26|1:88",no_change,"objective_improved:7|insufficient_validation_support:6|no_change:7",0.000062587,true
"anneal",0,7,cals_compact_explain_square2cnf,true,35,3,18,2,68,4,0.8596491228070176,0.8157894736842105,0.7194055944055944,0.5961538461538461,0.9772727272727273,1,0.46153846153846156,0.19230769230769232,0.7574468085106383,0.6079908301948584,0.46153846153846156,0.19230769230769232,"0:26|1:88",no_change,"objective_improved:7|insufficient_validation_support:5|no_change:5",0.000068285,true
"anneal",0,7,cals_compact_explain_affine,true,31,17,16,9,41,21,0.868421052631579,0.868421052631579,0.7657342657342657,0.7386363636363636,0.9545454545454546,0.9772727272727273,0.5769230769230769,0.5,0.7923497267759563,0.7769662188600496,0.5769230769230769,0.5,"0:26|1:88",no_change,"objective_improved:6|insufficient_validation_support:2|no_change:7",0.000073131,true
"anneal",1,7,cals_horn,true,39,13,20,7,38,12,0.8333333333333334,0.8508771929824561,0.8513986013986015,0.8221153846153846,0.8181818181818182,0.875,0.8846153846153846,0.7692307692307693,0.7955639452571968,0.8011695906432748,0.8846153846153846,0.7692307692307693,"0:26|1:88",no_change,"objective_improved:13|no_change:6",0.000052647,true
"anneal",1,7,cals_antihorn,true,39,13,20,7,38,12,0.8333333333333334,0.8508771929824561,0.8513986013986015,0.8221153846153846,0.8181818181818182,0.875,0.8846153846153846,0.7692307692307693,0.7955639452571968,0.8011695906432748,0.8846153846153846,0.7692307692307693,"0:26|1:88",no_change,"objective_improved:13|no_change:6",0.000050528,true
"anneal",1,7,cals_square2cnf,true,33,15,17,8,64,28,0.8333333333333334,0.8508771929824561,0.8378496503496504,0.8221153846153846,0.8295454545454546,0.875,0.8461538461538461,0.7692307692307693,0.7916305916305917,0.8011695906432748,0.8461538461538461,0.7692307692307693,"0:26|1:88",no_change,"objective_improved:9|no_change:7",0.000055447,true
"anneal",1,7,cals_affine,true,41,15,21,8,51,16,0.8508771929824561,0.8947368421052632,0.7814685314685315,0.7827797202797202,0.9090909090909091,0.9886363636363636,0.6538461538461539,0.5769230769230769,0.7853107344632768,0.8248847926267282,0.6538461538461539,0.5769230769230769,"0:26|1:88",no_change,"objective_improved:11|no_change:9",0.000057615,true
