dataset,method_key,method_label,depth,category,acc,acc_std,size,expl,train_time,axp_valid_rate,axp_minimal_rate,n_success,n_fail,axp_backend,theorem_certified,path_certificate,rejected_reason,theorem_mode_used,random_state,n_runs,train_test_split_protocol
Statlog_satellite-bin,gsnh_AntiHorn_d7,AntiHorn,7,main,0.96662908680947,0.005884098467057457,51.8,4.78,10.195552158355714,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_ConjUI_d5,ConjUI,5,auxiliary,0.922435174746336,0.006413286427656321,25.8,3.81,9.992368268966676,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_ConjUI_d7,ConjUI,7,auxiliary,0.9227733934611047,0.006138874133060638,27.4,3.8980000000000006,9.951596903800965,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_Square2CNF_d5,Square2CNF,5,main,0.9264937993235625,0.007904644032901064,24.4,3.59,10.043936157226563,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_Square2CNF_d7,Square2CNF,7,main,0.9273957158962796,0.008499696426142395,26.0,3.62,9.99451777935028,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_Affine_d5,Affine,5,auxiliary,0.7631341600901916,0.003984351081639751,16.8,4.072,9.889030528068542,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_Affine_d7,Affine,7,auxiliary,0.7631341600901916,0.003984351081639751,16.8,4.074,9.889592337608338,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_BestPN_d5,BestPN,5,empirical,0.9540022547914319,0.004804346280194504,33.0,4.3260000000000005,10.077003288269044,nan,nan,10,0,"mixed:interval_dfs_fallback=7,mixed:interval_dfs_fallback=1584,unknown=1060=1,mixed:interval_dfs_fallback=2116,unknown=1056=1,mixed:interval_dfs_fallback=2118,structural_horn=528=1",False,horn,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
Statlog_satellite-bin,gsnh_BestPN_d7,BestPN,7,empirical,0.9653889515219843,0.005987946662858852,55.0,5.11,10.2225741147995,nan,nan,10,0,"mixed:interval_dfs_fallback=8,mixed:interval_dfs_fallback=4223,unknown=1060=1,mixed:interval_dfs_fallback=4236,unknown=2117=1",False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,sklearn_dt7,sklearn DT,7,baseline,0.8490429042904288,0.004830109394004642,133.2,6.883976897689768,0.039242887496948244,nan,nan,10,0,sklearn,False,none,baseline,False,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_1D_d5,1D,5,main,0.8346039603960396,0.004294267133241145,36.0,3.336,7.829973220825195,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_1D_d7,1D,7,main,0.847970297029703,0.004886299949520101,85.6,5.062,7.880103802680969,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_Horn_d5,Horn,5,main,0.8474092409240924,0.004552810962499013,52.2,4.718,8.231201457977296,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_Horn_d7,Horn,7,main,0.8516336633663366,0.0029762042469840544,105.6,5.756,8.337081241607667,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_AntiHorn_d5,AntiHorn,5,main,0.8493069306930694,0.0033525570562432734,49.2,5.411999999999999,8.23402280807495,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_AntiHorn_d7,AntiHorn,7,main,0.85516501650165,0.002762289489235674,106.6,6.55,8.327234029769897,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_ConjUI_d5,ConjUI,5,auxiliary,0.85,0.002941740246962294,48.0,5.359999999999999,8.210647296905517,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_ConjUI_d7,ConjUI,7,auxiliary,0.8528052805280529,0.0024151110728020614,87.6,6.324,8.269964838027954,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_Square2CNF_d5,Square2CNF,5,main,0.846914191419142,0.004470729194888959,46.6,5.0280000000000005,8.502257108688354,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_Square2CNF_d7,Square2CNF,7,main,0.8503960396039604,0.004147268835723161,72.6,5.666,8.590935683250427,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_Affine_d5,Affine,5,auxiliary,0.8444389438943893,0.004365957440958328,44.0,5.82,8.228858160972596,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_Affine_d7,Affine,7,auxiliary,0.8497689768976897,0.005133684318244416,79.8,6.914,8.23616337776184,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
