dataset,run,depth,method,search_strategy,candidate_beam_width,tree_beam_width,lookahead_depth,node_budget,total_fit_time
"antihorn_chain__noise_00",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000405766
"antihorn_chain__noise_00",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.005581373
"antihorn_chain__noise_00",2,4,affine,Greedy,8,8,2,18446744073709551615,0.001568232
"antihorn_chain__noise_00",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000156332
"antihorn_chain__noise_00",3,4,horn,Greedy,8,8,2,18446744073709551615,0.000491595
"antihorn_chain__noise_00",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000435335
"antihorn_chain__noise_00",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.005457707
"antihorn_chain__noise_00",3,4,affine,Greedy,8,8,2,18446744073709551615,0.001495627
"antihorn_chain__noise_00",4,4,unary,Greedy,8,8,2,18446744073709551615,0.000155397
"antihorn_chain__noise_00",4,4,horn,Greedy,8,8,2,18446744073709551615,0.000472094
"antihorn_chain__noise_00",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000402006
"antihorn_chain__noise_00",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.005515155
"antihorn_chain__noise_00",4,4,affine,Greedy,8,8,2,18446744073709551615,0.001507542
"antihorn_chain__noise_05",0,4,unary,Greedy,8,8,2,18446744073709551615,0.000414074
"antihorn_chain__noise_05",0,4,horn,Greedy,8,8,2,18446744073709551615,0.001007496
"antihorn_chain__noise_05",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.00109365
"antihorn_chain__noise_05",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.019217441
"antihorn_chain__noise_05",0,4,affine,Greedy,8,8,2,18446744073709551615,0.002508498
"antihorn_chain__noise_05",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000368945
"antihorn_chain__noise_05",1,4,horn,Greedy,8,8,2,18446744073709551615,0.000976059
"antihorn_chain__noise_05",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000977666
"antihorn_chain__noise_05",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.037536033
"antihorn_chain__noise_05",1,4,affine,Greedy,8,8,2,18446744073709551615,0.002297572
"antihorn_chain__noise_05",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000382464
"antihorn_chain__noise_05",2,4,horn,Greedy,8,8,2,18446744073709551615,0.001008447
"antihorn_chain__noise_05",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000981393
"antihorn_chain__noise_05",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.019578807
"antihorn_chain__noise_05",2,4,affine,Greedy,8,8,2,18446744073709551615,0.002182289
"antihorn_chain__noise_05",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000364651
"antihorn_chain__noise_05",3,4,horn,Greedy,8,8,2,18446744073709551615,0.001020004
"antihorn_chain__noise_05",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001000296
"antihorn_chain__noise_05",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.021362735
"antihorn_chain__noise_05",3,4,affine,Greedy,8,8,2,18446744073709551615,0.002314593
"antihorn_chain__noise_05",4,4,unary,Greedy,8,8,2,18446744073709551615,0.00036465
"antihorn_chain__noise_05",4,4,horn,Greedy,8,8,2,18446744073709551615,0.000955992
"antihorn_chain__noise_05",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.00102377
"antihorn_chain__noise_05",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.021490082
"antihorn_chain__noise_05",4,4,affine,Greedy,8,8,2,18446744073709551615,0.002479727
"antihorn_chain__noise_10",0,4,unary,Greedy,8,8,2,18446744073709551615,0.000438037
"antihorn_chain__noise_10",0,4,horn,Greedy,8,8,2,18446744073709551615,0.000957019
"antihorn_chain__noise_10",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001089808
"antihorn_chain__noise_10",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.023035848
"antihorn_chain__noise_10",0,4,affine,Greedy,8,8,2,18446744073709551615,0.00235203
"antihorn_chain__noise_10",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000391365
"antihorn_chain__noise_10",1,4,horn,Greedy,8,8,2,18446744073709551615,0.001061221
"antihorn_chain__noise_10",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001086101
"antihorn_chain__noise_10",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.020758203
"antihorn_chain__noise_10",1,4,affine,Greedy,8,8,2,18446744073709551615,0.002547459
"antihorn_chain__noise_10",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000387297
"antihorn_chain__noise_10",2,4,horn,Greedy,8,8,2,18446744073709551615,0.001052511
"antihorn_chain__noise_10",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001145454
"antihorn_chain__noise_10",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.024887065
"antihorn_chain__noise_10",2,4,affine,Greedy,8,8,2,18446744073709551615,0.002282425
"antihorn_chain__noise_10",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000490836
"antihorn_chain__noise_10",3,4,horn,Greedy,8,8,2,18446744073709551615,0.000975138
"antihorn_chain__noise_10",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001080738
"antihorn_chain__noise_10",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.020522656
"antihorn_chain__noise_10",3,4,affine,Greedy,8,8,2,18446744073709551615,0.002348543
"antihorn_chain__noise_10",4,4,unary,Greedy,8,8,2,18446744073709551615,0.00037947
"antihorn_chain__noise_10",4,4,horn,Greedy,8,8,2,18446744073709551615,0.001040502
"antihorn_chain__noise_10",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001094955
"antihorn_chain__noise_10",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.023330556
"antihorn_chain__noise_10",4,4,affine,Greedy,8,8,2,18446744073709551615,0.002381723
"horn_chain__noise_00",0,4,unary,Greedy,8,8,2,18446744073709551615,0.000190646
"horn_chain__noise_00",0,4,horn,Greedy,8,8,2,18446744073709551615,0.000421955
"horn_chain__noise_00",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000483829
"horn_chain__noise_00",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.005666359
"horn_chain__noise_00",0,4,affine,Greedy,8,8,2,18446744073709551615,0.001412252
"horn_chain__noise_00",1,4,unary,Greedy,8,8,2,18446744073709551615,0.00015635
"horn_chain__noise_00",1,4,horn,Greedy,8,8,2,18446744073709551615,0.000409288
"horn_chain__noise_00",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000504014
"horn_chain__noise_00",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.00574139
"horn_chain__noise_00",1,4,affine,Greedy,8,8,2,18446744073709551615,0.001510698
"horn_chain__noise_00",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000157838
"horn_chain__noise_00",2,4,horn,Greedy,8,8,2,18446744073709551615,0.000427496
"horn_chain__noise_00",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000656354
"horn_chain__noise_00",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.005603183
"horn_chain__noise_00",2,4,affine,Greedy,8,8,2,18446744073709551615,0.001547544
"horn_chain__noise_00",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000164954
"horn_chain__noise_00",3,4,horn,Greedy,8,8,2,18446744073709551615,0.000389426
"horn_chain__noise_00",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000547933
"horn_chain__noise_00",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.005455554
"horn_chain__noise_00",3,4,affine,Greedy,8,8,2,18446744073709551615,0.001492345
"horn_chain__noise_00",4,4,unary,Greedy,8,8,2,18446744073709551615,0.000154294
"horn_chain__noise_00",4,4,horn,Greedy,8,8,2,18446744073709551615,0.000391831
"horn_chain__noise_00",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.00053702
"horn_chain__noise_00",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.005598073
"horn_chain__noise_00",4,4,affine,Greedy,8,8,2,18446744073709551615,0.001517149
"horn_chain__noise_05",0,4,unary,Greedy,8,8,2,18446744073709551615,0.000354437
"horn_chain__noise_05",0,4,horn,Greedy,8,8,2,18446744073709551615,0.000986168
"horn_chain__noise_05",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.00093146
"horn_chain__noise_05",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.014048519
"horn_chain__noise_05",0,4,affine,Greedy,8,8,2,18446744073709551615,0.002150479
"horn_chain__noise_05",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000407491
"horn_chain__noise_05",1,4,horn,Greedy,8,8,2,18446744073709551615,0.001018243
"horn_chain__noise_05",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001545369
"horn_chain__noise_05",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.016440924
"horn_chain__noise_05",1,4,affine,Greedy,8,8,2,18446744073709551615,0.00274108
"horn_chain__noise_05",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000378119
"horn_chain__noise_05",2,4,horn,Greedy,8,8,2,18446744073709551615,0.001294499
"horn_chain__noise_05",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001130321
