dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"antihorn_chain__noise_00",1,4,square2cnf,1,"{""Square2Cnf"": 3}","two_sat","TwoSat"
"antihorn_chain__noise_00",1,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"antihorn_chain__noise_00",2,4,unary,1,"{""Unary"": 4}","uncommitted","StructuralHorn"
"antihorn_chain__noise_00",2,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"antihorn_chain__noise_00",2,4,antihorn,1,"{""AntiHorn"": 3}","antihorn","StructuralAntiHorn"
"antihorn_chain__noise_00",2,4,square2cnf,1,"{""Square2Cnf"": 3}","two_sat","TwoSat"
"antihorn_chain__noise_00",2,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"antihorn_chain__noise_00",3,4,unary,1,"{""Unary"": 4}","uncommitted","StructuralHorn"
"antihorn_chain__noise_00",3,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"antihorn_chain__noise_00",3,4,antihorn,1,"{""AntiHorn"": 3}","antihorn","StructuralAntiHorn"
"antihorn_chain__noise_00",3,4,square2cnf,1,"{""Square2Cnf"": 3}","two_sat","TwoSat"
"antihorn_chain__noise_00",3,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"antihorn_chain__noise_00",4,4,unary,1,"{""Unary"": 4}","uncommitted","StructuralHorn"
"antihorn_chain__noise_00",4,4,horn,1,"{""Horn"": 4}","horn","StructuralHorn"
"antihorn_chain__noise_00",4,4,antihorn,1,"{""AntiHorn"": 3}","antihorn","StructuralAntiHorn"
"antihorn_chain__noise_00",4,4,square2cnf,1,"{""Square2Cnf"": 3}","two_sat","TwoSat"
"antihorn_chain__noise_00",4,4,affine,1,"{""Affine"": 7}","affine_gf2","Gf2Gaussian"
"antihorn_chain__noise_05",0,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"antihorn_chain__noise_05",0,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"antihorn_chain__noise_05",0,4,antihorn,1,"{""AntiHorn"": 12}","antihorn","StructuralAntiHorn"
"antihorn_chain__noise_05",0,4,square2cnf,1,"{""Square2Cnf"": 9}","two_sat","TwoSat"
"antihorn_chain__noise_05",0,4,affine,1,"{""Affine"": 15}","affine_gf2","Gf2Gaussian"
"antihorn_chain__noise_05",1,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"antihorn_chain__noise_05",1,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"antihorn_chain__noise_05",1,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"antihorn_chain__noise_05",1,4,square2cnf,1,"{""Square2Cnf"": 10}","two_sat","TwoSat"
"antihorn_chain__noise_05",1,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"antihorn_chain__noise_05",2,4,unary,1,"{""Unary"": 13}","uncommitted","StructuralHorn"
"antihorn_chain__noise_05",2,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"antihorn_chain__noise_05",2,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"antihorn_chain__noise_05",2,4,square2cnf,1,"{""Square2Cnf"": 9}","two_sat","TwoSat"
"antihorn_chain__noise_05",2,4,affine,1,"{""Affine"": 13}","affine_gf2","Gf2Gaussian"
"antihorn_chain__noise_05",3,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
"antihorn_chain__noise_05",3,4,horn,1,"{""Horn"": 10}","horn","StructuralHorn"
"antihorn_chain__noise_05",3,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"antihorn_chain__noise_05",3,4,square2cnf,1,"{""Square2Cnf"": 10}","two_sat","TwoSat"
"antihorn_chain__noise_05",3,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"antihorn_chain__noise_05",4,4,unary,1,"{""Unary"": 14}","uncommitted","StructuralHorn"
