dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"HTRU_2-bin",5,7,smart_certified,5,"{""Affine"": 3, ""AntiHorn"": 2, ""Horn"": 3, ""Unary"": 80}","uncommitted|horn|antihorn|affine_gf2","Gf2Gaussian|StructuralAntiHorn|StructuralHorn"
"HTRU_2-bin",5,7,cals,5,"{""Square2Cnf"": 5, ""Unary"": 2}","uncommitted|two_sat","StructuralHorn|TwoSat"
"HTRU_2-bin",5,7,cals_compact_explain,5,"{""Square2Cnf"": 1, ""Unary"": 1}","uncommitted|two_sat","StructuralHorn|TwoSat"
"HTRU_2-bin",6,5,unary,1,"{""Unary"": 29}","uncommitted","StructuralHorn"
"HTRU_2-bin",6,5,horn,1,"{""Horn"": 28}","horn","StructuralHorn"
"HTRU_2-bin",6,5,antihorn,1,"{""AntiHorn"": 29}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",6,5,square2cnf,1,"{""Square2Cnf"": 30}","two_sat","TwoSat"
"HTRU_2-bin",6,5,affine,1,"{""Affine"": 29}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",6,5,smart_certified,5,"{""Horn"": 1, ""Unary"": 28}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",6,5,cals,5,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"HTRU_2-bin",6,5,cals_compact_explain,5,"{""AntiHorn"": 1, ""Unary"": 1}","uncommitted|antihorn","StructuralAntiHorn|StructuralHorn"
"HTRU_2-bin",6,7,unary,1,"{""Unary"": 85}","uncommitted","StructuralHorn"
"HTRU_2-bin",6,7,horn,1,"{""Horn"": 76}","horn","StructuralHorn"
"HTRU_2-bin",6,7,antihorn,1,"{""AntiHorn"": 81}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",6,7,square2cnf,1,"{""Square2Cnf"": 85}","two_sat","TwoSat"
"HTRU_2-bin",6,7,affine,1,"{""Affine"": 76}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",6,7,smart_certified,5,"{""Affine"": 3, ""AntiHorn"": 1, ""Horn"": 4, ""Unary"": 78}","uncommitted|horn|antihorn|affine_gf2","Gf2Gaussian|StructuralAntiHorn|StructuralHorn"
"HTRU_2-bin",6,7,cals,5,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"HTRU_2-bin",6,7,cals_compact_explain,5,"{""AntiHorn"": 1, ""Unary"": 1}","uncommitted|antihorn","StructuralAntiHorn|StructuralHorn"
"HTRU_2-bin",7,5,unary,1,"{""Unary"": 29}","uncommitted","StructuralHorn"
"HTRU_2-bin",7,5,horn,1,"{""Horn"": 30}","horn","StructuralHorn"
"HTRU_2-bin",7,5,antihorn,1,"{""AntiHorn"": 30}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",7,5,square2cnf,1,"{""Square2Cnf"": 30}","two_sat","TwoSat"
"HTRU_2-bin",7,5,affine,1,"{""Affine"": 28}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",7,5,smart_certified,5,"{""Affine"": 1, ""Unary"": 28}","uncommitted|affine_gf2","Gf2Gaussian|StructuralHorn"
"HTRU_2-bin",7,5,cals,5,"{""Horn"": 4, ""Unary"": 1}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",7,5,cals_compact_explain,5,"{""Horn"": 1, ""Unary"": 1}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",7,7,unary,1,"{""Unary"": 86}","uncommitted","StructuralHorn"
"HTRU_2-bin",7,7,horn,1,"{""Horn"": 82}","horn","StructuralHorn"
"HTRU_2-bin",7,7,antihorn,1,"{""AntiHorn"": 92}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",7,7,square2cnf,1,"{""Square2Cnf"": 83}","two_sat","TwoSat"
"HTRU_2-bin",7,7,affine,1,"{""Affine"": 75}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",7,7,smart_certified,5,"{""Affine"": 2, ""Horn"": 1, ""Unary"": 83}","uncommitted|horn|affine_gf2","Gf2Gaussian|StructuralHorn"
"HTRU_2-bin",7,7,cals,5,"{""Horn"": 6, ""Unary"": 1}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",7,7,cals_compact_explain,5,"{""Horn"": 6, ""Unary"": 1}","uncommitted|horn","StructuralHorn"
"HTRU_2-bin",8,5,unary,1,"{""Unary"": 28}","uncommitted","StructuralHorn"
"HTRU_2-bin",8,5,horn,1,"{""Horn"": 30}","horn","StructuralHorn"
"HTRU_2-bin",8,5,antihorn,1,"{""AntiHorn"": 30}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",8,5,square2cnf,1,"{""Square2Cnf"": 30}","two_sat","TwoSat"
"HTRU_2-bin",8,5,affine,1,"{""Affine"": 30}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",8,5,smart_certified,5,"{""Affine"": 1, ""Unary"": 27}","uncommitted|affine_gf2","Gf2Gaussian|StructuralHorn"
"HTRU_2-bin",8,5,cals,5,"{""Square2Cnf"": 5, ""Unary"": 3}","two_sat","TwoSat"
"HTRU_2-bin",8,5,cals_compact_explain,5,"{""Square2Cnf"": 1, ""Unary"": 1}","uncommitted|two_sat","StructuralHorn|TwoSat"
"HTRU_2-bin",8,7,unary,1,"{""Unary"": 76}","uncommitted","StructuralHorn"
"HTRU_2-bin",8,7,horn,1,"{""Horn"": 85}","horn","StructuralHorn"
"HTRU_2-bin",8,7,antihorn,1,"{""AntiHorn"": 85}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",8,7,square2cnf,1,"{""Square2Cnf"": 88}","two_sat","TwoSat"
"HTRU_2-bin",8,7,affine,1,"{""Affine"": 77}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",8,7,smart_certified,5,"{""Affine"": 4, ""Horn"": 1, ""Unary"": 71}","uncommitted|horn|affine_gf2","Gf2Gaussian|StructuralHorn"
"HTRU_2-bin",8,7,cals,5,"{""Square2Cnf"": 11, ""Unary"": 3}","two_sat","TwoSat"
"HTRU_2-bin",8,7,cals_compact_explain,5,"{""Square2Cnf"": 1, ""Unary"": 1}","uncommitted|two_sat","StructuralHorn|TwoSat"
"HTRU_2-bin",9,5,unary,1,"{""Unary"": 29}","uncommitted","StructuralHorn"
"HTRU_2-bin",9,5,horn,1,"{""Horn"": 28}","horn","StructuralHorn"
"HTRU_2-bin",9,5,antihorn,1,"{""AntiHorn"": 29}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",9,5,square2cnf,1,"{""Square2Cnf"": 28}","two_sat","TwoSat"
"HTRU_2-bin",9,5,affine,1,"{""Affine"": 30}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",9,5,smart_certified,5,"{""Affine"": 1, ""Unary"": 28}","uncommitted|affine_gf2","Gf2Gaussian|StructuralHorn"
"HTRU_2-bin",9,5,cals,5,"{""Square2Cnf"": 5, ""Unary"": 2}","uncommitted|two_sat","StructuralHorn|TwoSat"
"HTRU_2-bin",9,5,cals_compact_explain,5,"{""Square2Cnf"": 4, ""Unary"": 3}","uncommitted|two_sat","StructuralHorn|TwoSat"
"HTRU_2-bin",9,7,unary,1,"{""Unary"": 86}","uncommitted","StructuralHorn"
"HTRU_2-bin",9,7,horn,1,"{""Horn"": 80}","horn","StructuralHorn"
"HTRU_2-bin",9,7,antihorn,1,"{""AntiHorn"": 91}","antihorn","StructuralAntiHorn"
"HTRU_2-bin",9,7,square2cnf,1,"{""Square2Cnf"": 85}","two_sat","TwoSat"
"HTRU_2-bin",9,7,affine,1,"{""Affine"": 77}","affine_gf2","Gf2Gaussian"
"HTRU_2-bin",9,7,smart_certified,5,"{""Affine"": 4, ""AntiHorn"": 1, ""Horn"": 3, ""Unary"": 78}","uncommitted|horn|antihorn|affine_gf2","Gf2Gaussian|StructuralAntiHorn|StructuralHorn"
"HTRU_2-bin",9,7,cals,5,"{""Square2Cnf"": 7, ""Unary"": 3}","uncommitted|two_sat","StructuralHorn|TwoSat"
