dataset,run,depth,method,pruning_enabled,nodes_before,nodes_after,leaves_before,leaves_after,literals_before,literals_after,validation_accuracy_before,validation_accuracy_after,validation_balanced_accuracy_before,validation_balanced_accuracy_after,validation_sensitivity_before,validation_sensitivity_after,validation_specificity_before,validation_specificity_after,validation_macro_f1_before,validation_macro_f1_after,validation_minority_recall_before,validation_minority_recall_after,validation_class_support,root_reason,reason_counts,pruning_time,path_certified
"HTRU_2-bin",2,7,cals,true,127,3,64,2,94,2,0.9784517158818835,0.9780526735833999,0.9269692558877439,0.9129353233830846,0.8640350877192983,0.8333333333333334,0.9899034240561896,0.9925373134328358,0.9338162795793163,0.9307733068139297,0.8640350877192983,0.8333333333333334,"0:2278|1:228",no_change,"objective_improved:56|no_change:7",0.000687387,true
"HTRU_2-bin",2,7,cals_compact_explain,true,151,5,76,3,154,5,0.9808459696727854,0.9804469273743017,0.9361801672750797,0.9359606764936925,0.881578947368421,0.881578947368421,0.9907813871817384,0.990342405618964,0.9414058161625019,0.940304645915846,0.881578947368421,0.881578947368421,"0:2278|1:228",no_change,"objective_improved:53|insufficient_validation_support:19|no_change:3",0.001045742,true
"HTRU_2-bin",3,5,unary,false,59,59,30,30,29,29,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,5,horn,false,57,57,29,29,56,56,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,5,antihorn,false,57,57,29,29,56,56,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,5,square2cnf,false,53,53,27,27,104,104,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,5,affine,false,61,61,31,31,66,66,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,5,smart_certified,false,59,59,30,30,29,29,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,5,cals,true,51,3,26,2,46,4,0.9768555466879489,0.9768555466879489,0.9181973260631825,0.9181973260631825,0.8464912280701754,0.8464912280701754,0.9899034240561896,0.9899034240561896,0.928336173301147,0.928336173301147,0.8464912280701754,0.8464912280701754,"0:2278|1:228",no_change,"objective_improved:24|no_change:1",0.000458729,true
"HTRU_2-bin",3,5,cals_compact_explain,true,53,5,27,3,32,3,0.9772545889864326,0.9760574620909817,0.9243372918688293,0.9256523111994208,0.8596491228070176,0.8640350877192983,0.9890254609306409,0.9872695346795435,0.9302797216108849,0.9273388707080352,0.8596491228070176,0.8640350877192983,"0:2278|1:228",no_change,"objective_improved:22|insufficient_validation_support:1|no_change:3",0.000621906,true
